admin3_code,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL
,2681193.82931077,2548193.99290548,2425121.83469068,2339173.14083781,2194909.11168342,1918253.55145048,1560129.65542913,1363638.49678402,1122690.26277787,927609.199807658,773185.180061237,570958.974207998,466536.820420002,772376.038060787
0,119870296.459272,109032362.436693,93185070.2346759,78942255.520711,69903618.2330504,62861746.0521388,49265997.4493835,41359189.7750975,34146135.7638201,26951426.764464,23990100.7546538,16019268.0317561,14294419.4531908,25425431.216571
10105729,14858.6936187744,15546.7688293457,17011.9157104492,16557.627746582,14836.1123962402,6645.63279724122,10028.8870010376,8561.08386993409,8413.63920593262,3420.44863128662,2685.8824005127,3359.34530639648,3444.35845947266,7361.60216522217
10105723,5421.24246215821,5672.28884887695,6206.85244750977,6041.10400390626,5413.0036315918,2424.68065643311,3659.07183837891,3123.53907775879,3069.74346923828,1247.96171188355,979.952880859376,1225.66798400879,1256.68531799317,2685.90432739258
10105730,7455.44409179688,7800.68994140625,8535.8369140625,8307.89477539063,7444.11376953125,3334.48852539063,5032.05786132813,4295.57824707031,4221.59704589844,1716.23175048828,1347.65856933594,1685.57281494141,1728.22875976563,3693.73071289063
10105741,46520.533203125,48674.802734375,53261.9765625,51839.6640625,46449.833984375,20806.5654296875,31399.0712890625,26803.580078125,26341.951171875,10708.9555664062,8409.1298828125,10517.6494140625,10783.8139648437,23048.16796875
10105740,63815.400390625,66770.556640625,73063.1015625,71112.015625,63718.41796875,28541.791015625,43072.255859375,36768.306640625,36135.05859375,14690.2080078125,11535.37890625,14427.7802734375,14792.896484375,31616.7490234375
10105731,2551.64978027344,2669.81140136719,2921.41772460938,2843.40393066406,2547.77197265625,1141.23950195313,1722.23809814453,1470.17547607422,1444.85522460938,587.385864257813,461.240493774414,576.892730712891,591.491882324219,1264.19128417969
10105738,1637.39433288574,1713.21868896484,1874.67451477051,1824.61303710938,1634.90596008301,732.333671569825,1105.16062164307,943.41202545166,927.163963317872,376.925678253174,295.978151321411,370.192234039307,379.560485839844,811.231864929199
10105732,4526.51953125,4736.13305664063,5182.47241210938,5044.0791015625,4519.640625,2024.51086425781,3055.17797851563,2608.02966308594,2563.11242675781,1041.99789428711,818.221252441406,1023.3835144043,1049.28173828125,2242.62219238281
10105737,6635.33082580567,6942.59931945802,7596.8784790039,7394.01071166992,6625.24702453613,2967.68838500976,4478.52185821534,3823.05632781983,3757.21318054199,1527.44300460815,1199.41354942322,1500.15662574768,1538.1202583313,3287.41318511963
10105734,45662.8828125,47777.435546875,52280.041015625,50883.94921875,45593.48828125,20422.9765625,30820.19921875,26309.4306640625,25856.3115234375,10511.525390625,8254.09912109375,10323.7465820313,10585.00390625,22623.2529296875
10105736,13952.0602416992,14598.1510162354,15973.8990631104,15547.330291748,13930.8568115234,6240.1360321045,9416.95406341552,8038.71182250977,7900.26382446289,3211.74293899536,2521.99781799316,3154.36800003052,3234.19388961792,6912.41896057129
10105726,13352.7425765991,13971.0802612305,15287.7321777344,14879.4869995117,13332.4498443604,5972.08784866333,9012.44403076171,7693.40491104127,7560.90414428711,3073.78091049194,2413.66417884827,3018.87054634094,3095.26747894287,6615.49250793457
10105720,15700.3500213623,16427.4004745484,17975.5392608643,17495.5186157227,15676.4894638062,7022.06829071045,10596.9635734558,9046.0181350708,8890.22168350219,3614.19658660889,2838.02164268494,3549.6321182251,3639.4608001709,7778.59304046631
10105614,34495.1013336182,36035.9870986939,38702.2408065796,37140.5789260864,34768.6507492066,27673.6455764771,24145.1849441529,22309.9701728821,21946.3909873963,17569.5782928467,14473.9523334503,8957.92224502564,8739.77452659608,19283.5995292664
10105719,9179.34004211426,9604.41609191895,10509.5482635498,10228.9002685547,9165.38987731933,4105.51050567627,6195.60275268555,5288.82959747315,5197.74189758301,2113.07004165649,1659.27292823791,2075.32190322876,2127.84095573425,4547.81900024414
10105718,25281.1993713379,26473.3692855835,28975.6038742066,28204.7404937744,25220.895729065,11623.4952545166,17014.631111145,14510.6756782532,14261.7566184998,6000.73443412781,4721.62550544739,5700.16088485718,5865.16143989563,12576.7765541077
10105743,22005.7079086304,23471.6390075684,25836.7873764038,25207.3367080689,21516.3658065796,16432.6576118469,13833.2948493958,11522.5178222656,11344.764881134,8837.414894104,7139.3596420288,4650.8310508728,5200.81705093384,11974.2167053223
10105621,17974.6432189941,18809.4867858887,20242.7198104858,19453.2158737183,18073.3045272827,14339.3996658325,12477.7654876709,11446.1211929321,11260.2498016357,8998.41175460816,7403.64251708984,4597.46441078186,4529.34428596497,10026.6144638062
10105617,6806.60766601563,7110.65673828125,7636.76489257813,7328.61596679688,6860.58471679688,5460.59130859375,4764.35180664063,4402.22534179688,4330.48364257813,3466.8466796875,2856.0146484375,1767.58618164063,1724.54095458984,3805.05895996094
10105725,46984.4621887208,49157.3273620606,53752.6686553955,52290.2544555664,46929.7215576172,21640.0053977966,31756.2967529296,27195.3511734009,26728.0305862427,11307.9424915314,8914.11461639405,10681.7842941284,10929.3639965057,23390.1312904358
10105722,6883.96728515625,7202.74926757813,7881.54541015625,7671.07592773438,6873.50561523438,3078.89233398438,4646.33911132813,3966.31237792969,3898.001953125,1584.6787109375,1244.35748291016,1556.36981201172,1595.75610351563,3410.59777832031
10105742,4947.67350769043,5270.80995178223,5799.75860595703,5657.60900878907,4844.23963928223,3599.4193725586,3124.9529800415,2607.38634490967,2566.83428192139,1932.46684265137,1559.49987411499,1050.36080551148,1167.88942718506,2676.74803924561
10105613,9403.11203765869,9830.00968170166,10566.2513332367,10145.7663116455,9468.24530029297,7526.27509212494,6559.49084568024,6043.02288532257,5944.6840467453,4755.64408874512,3915.73252344132,2426.74612665176,2377.07466077805,5251.91359424591
10105745,2305.81164550781,2459.41552734375,2707.24157714844,2641.2861328125,2254.53723144531,1721.85388183594,1449.48638916016,1207.35754394531,1188.73211669922,926.005859375,748.079498291016,487.325424194336,544.954284667969,1254.68762207031
10105615,11657.9957180023,12179.3030662537,13081.1468601227,12553.7821483612,11749.6912250519,9351.2240114212,8158.34675693512,7536.82200622559,7414.00796890259,5935.13952445983,4889.25323295594,3026.22011327743,2953.27689647674,6516.73106384277
10105590,18355.8711395263,19159.3430900574,20580.3950004578,19755.0754280091,18506.0096282959,14745.87940979,12864.1497764587,11882.4783325195,11682.6041278839,9352.82977485658,7709.29217147828,4778.55247688293,4652.10969924927,10270.3224029541
10105721,22462.4234008789,23487.4595184326,25505.2686462402,24682.5655975342,22515.6855316162,13329.6901779175,15392.3327713013,13594.9785003662,13366.3756790161,7752.48780822754,6269.25346374512,5389.20769500733,5406.31930160523,11716.8689117432
10105748,19840.3875656128,21153.7176513672,23282.4885406494,22714.1639099121,19407.7208557129,14692.481376648,12491.187713623,10410.3476257324,10249.3259048462,7897.30327224732,6377.7427406311,4199.26305580139,4687.20169448852,10775.9369239807
10105616,4702.62115478516,4912.68554687501,5276.16870117188,5063.27166748047,4739.91333007813,3772.67098999024,3291.64581298829,3041.45614624023,2991.89038085937,2395.21166992188,1973.19367980957,1221.20863342285,1191.46913146973,2628.87936401367
10105591,13638.1888523102,14247.4027385712,15301.5491809845,14684.1208076477,13746.3413105011,10941.2174625397,9546.18424987793,8820.60278701782,8676.85599708557,6946.41323280335,5722.50819301606,3541.65758657455,3455.4093747139,7624.07905197144
10105451,17118.6305999756,17883.3146057129,19206.4774169922,18431.4824066162,17254.3831634521,13733.3969421387,11982.3537902832,11071.60521698,10891.1744995117,8719.12561035157,7182.88228607178,4445.48241424561,4337.22371292114,9569.73046875
10105450,17734.3767700195,18526.8411712647,19901.178817749,19100.7780151367,17873.4242248535,14167.717956543,12409.1481781006,11457.9799957275,11271.1632461548,8985.83497619629,7401.10755157471,4599.73651885986,4489.60827255249,9903.2615661621
10105628,11630.2804851532,11970.7782306671,12894.2593460083,12429.5184783936,11772.2041301727,9546.64268684388,8312.12588500976,7637.9759349823,7445.83224296571,5962.10171890259,4958.98504447937,3148.14744901657,2962.05556344986,6598.77502059937
10105452,21522.7814941406,22493.6420898438,24170.2085571289,23203.0022735596,21680.4768371582,17242.7344207764,15034.382232666,13867.0281982422,13641.2373352051,10915.9496383667,8989.8858718872,5568.37868118286,5445.74546432495,12025.3528289795
10105460,14205.9054718018,14847.8309326172,15962.3336334229,15329.2798156738,14306.0502624512,11260.9317932129,9913.09271240236,9126.0244140625,8977.26345062256,7108.96524810791,5851.46937942505,3662.87799453735,3586.77210426331,7915.60205078125
10105758,6672.82267761231,7115.72532653809,7830.69304656984,7638.59808349609,6526.65716171266,4986.97994422913,4199.93576049805,3503.04486083984,3448.96354866028,2687.70454025269,2171.8759841919,1413.83286380768,1578.30306720734,3632.05342292786
10105749,20571.8639831543,21929.791595459,24134.4343261719,23544.1209716797,20127.5006103516,15195.1347351074,12961.4055938721,10807.081817627,10639.7546691895,8169.5987701416,6597.28834533691,4358.33798217773,4860.15908813477,11167.1458435059
10105756,19840.3919677735,21162.0785369873,23294.5013122559,22726.9870300293,19399.2000732422,14815.7184524536,12472.1276016235,10388.7259140015,10228.4635696411,7967.83156585694,6436.8614730835,4193.19892120361,4689.06744003296,10795.978553772
10105759,23376.9416866303,24925.3330516815,27425.6380405426,26750.2157306672,22869.3221664429,17479.093079567,14724.1684398651,12290.3764982224,12100.5503406525,9431.72082805633,7622.76305007934,4960.20952272415,5531.78643465043,12726.3876094818
10105442,32421.9376907349,33844.9874267578,36360.6118316651,34925.7571411133,32748.0635986328,26172.2196273804,22884.0921096802,21107.5471038818,20755.1717147827,16624.7061386108,13686.5957450867,8472.91133880616,8242.89426803589,18122.6741333008
10105592,7651.74515151978,7993.76740646363,8585.50341796876,8239.26161956787,7712.12040519715,6138.04226970673,5355.19546318055,4947.58382415772,4866.95914554596,3896.21955394745,3209.67084360123,1986.57011127472,1938.49584889412,4277.36146354675
10105625,51803.955078125,54111.53515625,58116.54296875,55773.513671875,52216.5703125,41567.490234375,36266.900390625,33508.810546875,32960.2734375,26386.9833984375,21739.515625,13457.4404296875,13125.7514648438,28963.1923828125
10105453,18820.1997680664,19660.892364502,21115.5757141113,20263.5473022461,18969.4459228516,15098.4780731201,13173.3837890625,12172.1078796387,11973.7425689697,9585.79501342773,7896.85125732422,4887.35736083984,4768.33798217774,10520.9488220215
10105750,19796.7072753906,21080.6181945801,23160.3916931152,22567.6467590332,19404.4127807617,14871.2736511231,12557.9971466064,10561.485534668,10397.6641387939,8121.44995117188,6573.87052154541,4260.76314926148,4705.78750610352,10795.8519592285
10105768,9101.280960083,9707.57154846192,10685.766784668,10425.4340362549,8898.89543151856,6796.33828735352,5721.27496337891,4765.5668334961,4692.05052947998,3655.04244232178,2952.74837875366,1923.52459335327,2150.99181747437,4952.38378143311
10105601,13687.5691795349,14302.3758630753,15364.9987268447,14747.90803051,13791.4557409287,10972.2648706436,9569.7364807129,8833.53093194962,8689.64401578904,6954.93315410614,5728.53819799424,3547.01894021034,3465.29269933701,7649.38608074189
10105753,3033.59558105469,3235.68151855469,3561.72875976563,3474.95581054688,2966.13732910156,2265.32312011719,1906.98809814453,1588.43603515625,1563.93188476563,1218.28131103516,984.196014404297,641.140045166016,716.958343505859,1650.70501708984
10105608,9937.88847970963,10242.8288812637,11030.011469841,10628.0693721771,10055.2763838768,8140.55215168,7089.18391942978,6517.46245622635,6358.71486091615,5091.5204384327,4231.20074295998,2680.04494023323,2529.82747435569,5630.95419692993
