id_match,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL,pop,pseektrtdisp10x10,pseektrthc10x10,pseektrthosp10x10,ssatrtmindisp10x10,ssatrtminhc10x10,ssatrtminhosp10x10,iso,country,admin_name,admin_type
688,58745.302464908,52748.0807961333,49556.8126350734,50923.5732156542,53951.088283652,55444.9482258261,53230.2081710841,49118.4663832533,41899.7340710042,33225.4678915059,25296.2343411825,16464.8594901031,9264.93566958234,14958.6748311119,453335.003209033,0.5,0.5,0.5,333.414314593415,373.343317162584,526.384227842413,ESH,Western Sahara,Administrative unit not available,
17,7954.6094326333,9117.18148720481,7981.83496141172,6019.40205579284,6301.32268892828,4161.20447287709,3902.49902764447,3745.97293626037,2663.11837027577,2816.31917154148,2815.68046841724,1395.48095540392,1600.51013670008,2686.04853619477,46089.393781448,0.500043608343002,0.500133060354495,0.500215527380065,562.318694097934,559.884464360121,590.766232901322,MRT,Mauritania,Tiris-Zemmour,Region
141,7049.03982923852,5836.33803201203,5829.02541087966,5851.96094766459,5796.3164731315,5671.17326915567,4490.16609438672,3792.22644951596,3329.35019957421,2544.27959910597,1759.923846471,1499.87635296913,928.620612779738,1870.56980052385,43363.489056158,0.5,0.5,0.5,1327.2095517759,1311.70419428899,1040.35276140485,DZA,Algeria,Tindouf,Province
91,55446.8229140013,49931.5950191775,49678.0302647147,50875.5214234133,48554.1206303907,44130.7956592749,33983.5211202346,30114.6836663841,24404.4130992174,20328.7023765784,15223.9953715598,11436.415644177,6806.31282794488,20384.8403955895,355921.352479479,0.50326741039753,0.506365301211675,0.521031062169509,637.831408909389,718.097569109599,540.022582144108,DZA,Algeria,Adrar,Province
138,27607.67275614,23239.0971653686,22123.3828611217,22247.5272011653,20329.3929623628,18303.1911790766,12740.8804000653,11783.1689688713,9966.82883507916,8361.13166189267,5083.83166843056,4181.91426574065,2812.95370827093,6092.02637245228,144026.230084529,0.500521328081103,0.501375207099421,0.504897943009501,250.32936320936,275.919786095619,302.32702195017,DZA,Algeria,Tamanrasset,Province
123,6602.57197194929,5402.70718314051,4783.48668768292,4683.60649525769,4755.69333906163,4683.32567020021,3754.17355981006,3046.23457029183,2385.94926148691,1829.06617493844,1157.50039373755,787.726882698291,603.133804621664,1243.49327123877,33713.390111026,0.5,0.5,0.5,199.568654509152,192.217550141471,1160.32685122283,DZA,Algeria,Illizi,Province
659,667207.642261317,611454.019572962,523879.763329988,506277.100004374,541856.343250384,642255.714373303,547378.819718003,463656.654739207,356360.012011674,279421.058209103,227368.088512189,172484.643655984,129468.861739723,290752.853677759,4681159.91322169,0.5,0.5,0.5,852.689567842671,938.829356287237,1330.11433998666,LBY,Libya,Administrative unit not available,
689,10356496.6090897,10237746.3454854,10336377.956937,11392860.4791379,10489698.4083316,8519889.01515263,6303466.4229442,6215953.57163954,5442798.64620173,4881198.23316794,4050647.84519209,3015203.32953633,2245410.53566207,3630213.05348316,76523717.4973863,0.5,0.5,0.5,1173.49861930398,1144.42421591623,669.687904308582,EGY,Egypt,Administrative unit not available,
463,186664.460779777,149577.00759926,122261.454996789,101856.218730261,85128.3418497705,72683.8389288674,60466.4756824114,48162.4370188763,36188.252711699,27285.8851718076,22301.4220705485,18865.9100557059,14118.4773752243,26658.1617966197,635976.87638858,0.532292264648338,0.54562800099779,0.570181694017378,328.097464340329,457.79009562466,302.929247345495,MLI,Mali,Tombouctou,Region
8,12314.3592889578,16899.9148032761,14773.43061201,10179.075251168,8926.15104122628,6176.57219816673,5882.17659578008,4745.40277233925,4338.70894335743,4189.92519275673,4736.32558190355,2424.40116733061,2721.44360936239,5153.79896916712,74247.4119345681,0.500011718251951,0.500026999252516,0.500043550393086,346.234411395911,369.493793688447,328.732351301069,MRT,Mauritania,Adrar,Region
648,116187.472873156,148466.956541097,119348.62449932,61410.975457536,52515.3516995444,43001.2637564003,38540.6725109939,27464.7697590484,26666.3926888766,22222.5327822594,27427.0579000457,11150.2989216089,22194.833710271,23012.9945626596,474955.768248564,0.500004399473604,0.500009798048758,0.500015726623636,163.288967700282,163.182952888021,552.522664404184,NER,Niger,Agadez,Region
421,2521.65786494652,2607.54576238419,2026.92106006492,1356.04278769344,967.573720768152,690.307044454297,725.614199684874,546.833249199437,646.523250228915,467.320468734543,354.416424031413,165.484143021407,298.4719022176,390.30367497199,8635.81192507099,0.5,0.5,0.5,522.827641263088,524.079146739064,836.446236160288,TCD,Chad,Tibesti,Region
246,264218.595046777,337446.429207672,287553.011126094,239879.897243045,184716.092869224,162669.150213091,163755.80813012,154785.730958719,130978.75759482,83542.5116826474,65646.74761716,45176.9933491498,39653.1853548766,47434.7833237932,1605792.66946274,0.499879661697125,0.499954694326033,0.499849791792831,721.142790126608,720.84165909744,310.362126510346,SDN,Sudan,Red Sea,State
37,87376.7351986549,89307.4663436661,71010.4310772105,36442.1434354096,35147.1143156815,27434.8043390091,28292.8690665941,26602.3405364632,16170.5071120363,16938.0702658317,18893.0574659951,12616.9482690654,13172.1311437245,23947.0935670719,326667.510594093,0.500424301319845,0.500598999303288,0.500881317345728,361.144886050834,367.473284734381,263.673861810784,MRT,Mauritania,Hodh Ech Chargi,Region
245,137822.370163918,138617.288536686,142937.675606381,123317.514968779,112480.02884391,93664.989798978,79484.0293920636,82152.5454955474,62193.9530206304,50369.6712396164,38813.3527634777,36081.0185739556,33689.7026104247,67639.2789316793,922823.761245443,0.5,0.5,0.5,656.438926436386,656.438926463495,547.252075114833,SDN,Sudan,Northern,State
