admin1_code,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL
,2681193.82931077,2548193.99290548,2425121.83469068,2339173.14083781,2194909.11168342,1918253.55145048,1560129.65542913,1363638.49678402,1122690.26277787,927609.199807658,773185.180061237,570958.974207998,466536.820420002,772376.038060787
0,12364959.610253,12244385.3573035,12438384.7550827,13587040.6875913,12534777.5153595,10615304.952937,7977363.05665007,7763808.3065247,6736028.5554218,6067768.08656281,4954824.44799452,3838656.23477395,3141480.42009395,4766229.16594196
10314574,96893.5621719361,86827.8070793152,102085.073619843,118335.863754273,120170.111526489,110392.985416412,90131.4441184998,77558.437997818,65434.772102356,47361.7779541016,43923.2612695694,36188.2873182297,26602.1546001434,62321.9762783051
10313196,63211.7125053407,52925.8409385681,61213.1931190491,69828.0923995972,73997.8899040222,75491.3807983399,66920.3894577027,57908.5128364564,51743.4542045594,43087.4556293489,36780.438709259,30480.5060081482,20207.7719182968,45399.6032810211
10314072,99838.4050598146,76377.5820999146,85173.4479293824,100860.89553833,111083.877059937,106337.063034058,86887.6306915284,75957.2203445435,62378.2561950684,48076.0555686951,41612.0977630615,33220.8348312378,23800.4850521088,54441.27583313
10314202,42588.5740814209,36659.2016048431,42583.5643234253,47683.4768943787,50586.5599288941,51768.4845848084,43458.7903308868,36524.844783783,32032.8491210938,26221.6564273834,21477.6687440872,16297.4838256836,11865.9407234192,26899.0462751389
10315600,90377.4065246582,83493.5767974854,103244.349060059,132693.09942627,158947.281951904,154313.156860352,125157.194763184,102974.091445923,87033.3847961426,57345.7847137452,58882.8695831299,53132.3867645264,35974.2978286743,102222.014831543
10316311,77510.6954193115,71635.1038513184,89901.5655517579,112163.917427063,129078.070724487,116471.956001282,93752.2872314453,77274.5931892396,64594.7885437012,50974.8422355652,44314.2144622803,38827.1970787049,23729.5670604706,68048.5453071595
10315392,47368.504524231,44311.6753158569,54637.3101882935,67028.3855247498,66305.4412307739,55350.2398490906,42463.9210395813,34654.4419822693,30513.499671936,22347.8877925873,19250.277797699,17906.557012558,12303.1814393997,30549.9868869782
10314420,283709.73828125,224053.5,237923.4921875,256859.573242188,274997.850585938,281358.454101563,258880.483886719,249311.445800781,222222.360351563,164728.521240234,134430.894042969,109511.222167969,76787.3940429689,190335.493652344
10316204,63100.1209259034,50846.8897476197,56776.1173629762,64556.8804588318,67253.26354599,62770.8518218995,53190.2663955689,48497.6858901978,42861.0748786926,31118.6461772919,26233.0461063385,20202.0833339691,14655.2221088409,34942.4150161744
10313247,155056.738027573,124229.957801819,135956.424409866,150164.492527008,155658.159227371,147971.051757813,125764.053348541,116745.598901749,100711.819040299,76161.6619195939,64544.1174860001,50020.0828409195,35478.0397782326,78162.0493221283
10315255,53237.9690036774,45869.2596492767,53290.4991912842,61308.2327957154,65328.8147392273,62023.1164569855,49950.2829418182,42395.1937541962,38090.9688625336,33976.0318717957,27829.8109560013,21811.22697258,14169.5593400002,36474.1337451935
10314474,81443.086933136,69560.4786243439,82788.3689746857,99624.1407699585,106386.363689423,100462.999248505,78752.5098533631,62573.1195812226,49691.1006183625,40254.4791727066,34808.3115625382,27345.6402692795,18454.5974903107,49891.1221504211
10314577,95165.1974487305,82903.5395507813,103574.835681915,120711.400192261,118134.999858856,97331.6679306031,75408.587173462,61306.5604724884,56494.6778869629,50126.2236423493,39110.1167850495,30489.5648403168,21731.7550849915,51792.8961391449
10313145,105345.977848053,87139.7115440369,103134.662124634,119976.319793701,123534.661804199,108686.694068909,91025.6421451569,81961.6441287995,75776.7191181184,63158.1630401612,53294.1430988313,40103.6731252671,27976.1617660523,70195.7800598145
10314031,126815.293361664,103067.931461334,122768.853374481,141848.279056549,142996.287014008,122195.523242951,92299.5139236451,74055.484413147,68576.9795742035,64068.5722560883,50378.6936988831,37434.243519783,22211.4804267883,59587.7113342286
10316324,195458.194278717,161264.430561066,192092.239952088,223816.543720245,230260.612239838,197715.677639008,155413.862155914,121755.850103378,105709.739433289,94102.9396781921,74147.2779197694,57613.0219984055,35342.9134740829,94504.4624614716
10315049,99921.2048549652,84541.5873355866,97896.3647575379,115437.781234741,117064.955646515,100213.8163414,76855.558795929,64418.4988174439,54777.6773033142,41374.1611881256,36440.0608882904,28280.2355461121,19415.9948606491,48644.6035871506
10315248,95429.2850646973,78123.4675092698,94735.1239757539,109925.158805847,112772.1745224,103914.172670364,80984.2306013107,67685.0843334198,53157.3696537018,44125.1611523628,35785.4266724587,27210.1023845673,19280.962192297,49903.6942353249
10316162,51252.4189453125,44558.7831077576,51242.433166504,56031.4220161438,61125.0465126038,57860.2089233399,44075.2998008729,38164.7370929718,33139.7568244934,28822.2961349487,22819.8808689118,18647.2332859039,12275.0453939438,31653.2572402954
10313491,71634.7178726196,61410.5455322266,69042.6171340943,77952.359992981,84667.5286560059,75905.7025909424,58565.9662284851,48321.1623573304,41296.1349868775,35842.5135974884,28842.1894683838,21914.9524650574,14991.0209445953,34962.6656208038
10313870,78571.8864631653,65199.0457897187,77470.9899330139,90656.6422348023,91307.1785964966,79278.6338005066,59776.4563350678,47800.676639557,39503.2132282257,35097.8500213623,27539.2392168045,22218.969874382,13431.6592259407,38553.96185112
10314370,90135.0182228088,76876.4143257142,89848.8446502686,103799.081569672,112462.36907196,97525.0421924592,73791.096529007,58346.0368900299,51024.3451271057,43730.0322113037,35428.4005117416,27573.4408569336,16430.1663970947,46296.2605247498
10316275,79251.9682674408,68827.3388595581,79540.9274959564,93830.7764549256,98592.3966884613,83219.9999752045,62443.3271770478,49888.3179950714,42527.879899025,34648.5278472901,29397.9058609009,23612.6458535195,14631.0762910843,37691.4718494415
10313405,35230.8864555359,31716.280210495,37947.092792511,45219.2879486085,44920.1378402711,38249.0564174653,28821.6318416595,24103.9667243958,20542.8573188782,14518.2324466705,13115.6749258041,10407.1317815781,6926.6022605896,19300.1572761536
10316067,103356.449360371,87622.0921120644,98920.7704591752,109152.496346474,107042.029669285,90131.8467335701,67895.703001976,53322.9532489777,42921.9434802532,38790.5411610603,30421.7225711346,22619.2195193768,13886.8989546895,38881.1264510155
10315630,345426.192085266,361425.568344116,395261.135780335,384540.340087891,344983.416275025,158719.304725647,233372.147930145,199744.896018982,196312.345146179,82771.485671997,65221.6042747498,78450.5299186707,80314.5764636993,171889.832984924
10312879,143493.321092606,125031.300018311,146531.4771204,166988.615222931,163314.449290276,135822.336931229,106706.921309948,86972.2782626152,77233.020772934,68371.641029358,54122.3302061558,42139.1142644882,26340.2939021587,72054.4994678498
10313671,78926.8330001832,73184.2121248246,87299.9259681702,96186.9000997543,94498.7285280228,81175.3056936264,60832.0481133461,50353.1855297089,46232.2886481285,39639.4275369644,32923.8795204163,23299.4108483791,14267.5553965569,40434.919508934
10313934,231105.867658615,246267.039396286,270950.729661942,264280.060663223,226225.653049469,170099.364699364,145867.390737534,121787.152937889,119897.892004013,91588.6989393234,73965.8426027298,49096.7792611122,54623.577264309,125366.412130356
10314351,145606.494560242,120041.593729019,129517.100996018,135251.239826203,149038.080770493,144817.142751694,127429.908603668,112956.636663437,102293.90221405,82031.3481807709,67935.2835884094,53741.8709087372,35978.0822601319,82846.9098625184
10315726,132316.839393616,108382.354906082,119290.734359741,124891.501602173,137663.817100525,129796.248157501,107999.313907623,90483.0516147614,75899.3432731629,61127.5129432679,52116.2745056153,41221.4442787171,28436.5274977684,68870.039642334
10315226,205089.947924614,179639.332064152,180635.091021538,183433.261239529,170451.087608099,143858.829470873,98914.3934395314,88052.9944975377,67132.363321662,59209.8364181519,41117.4811786413,36136.2683466673,22802.5479806066,60198.5328700543
10316185,108534.640713215,92807.7914347649,105827.211592198,115074.013609409,113943.471258164,103231.145932198,78852.8349235058,68669.7525942326,58531.7828409672,47742.9110159874,37671.9108937979,28163.4858312607,18143.5247120261,53809.3916878701
10314959,38756.9417915344,31742.3518409729,34127.043340683,35598.8790988922,38617.219833374,40273.6306476593,36078.6123695374,31963.4102954865,28700.6698226929,22421.4207010269,19054.8924455643,15189.2692251206,10618.1353988647,25381.3387145996
10315522,48011.3749446869,43941.4452235699,49787.5447239876,53636.4718365669,54114.4045329094,47508.6685981751,36223.1696763039,29709.473233223,27346.4569336176,21634.1540510654,18454.470339179,14878.8643851876,8346.54495763779,23538.6209316254
