admin2_code,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL
,2681193.82931077,2548193.99290548,2425121.83469068,2339173.14083781,2194909.11168342,1918253.55145048,1560129.65542913,1363638.49678402,1122690.26277787,927609.199807658,773185.180061237,570958.974207998,466536.820420002,772376.038060787
0,39231815.8562614,35915446.0835128,32667108.94015,26489839.2961035,22566459.9560132,20109575.2539491,15198984.6691914,14077400.689187,11630490.6599795,9978612.66926765,8798753.9009133,6583187.04800362,5398837.74006182,8581260.21504308
10002611,137.861137390137,123.63688659668,145.297256469727,168.346084594727,170.95336151123,157.222793579102,128.373153686523,110.446266174316,93.0284957885742,67.1563873291016,62.4201202392578,51.4510803222656,37.8747882843018,88.6162033081055
10002606,349.695373535156,310.358213424683,363.88013458252,420.676200866699,429.844673156738,401.719623565674,332.597856521606,286.4596824646,243.850521087646,180.980669021606,165.417788505554,136.518954277039,98.5537014007569,228.951282501221
10001519,553.262443542481,466.620502471924,540.646713256836,617.99556350708,651.650428771972,657.396232604981,578.448108673097,500.465686798096,444.837406158447,366.03095817566,314.809064865112,261.030099868774,174.522441864014,393.480068206787
10002613,1177.61022949219,1056.10662841797,1241.12951660156,1438.0126953125,1460.28405761719,1342.99755859375,1096.56378173828,943.432281494141,794.649627685547,573.650024414063,533.192810058594,439.495254516602,323.52653503418,756.959808349609
10002616,235.079811096191,210.824722290039,247.759811401367,287.062530517578,291.508438110352,268.095169067383,218.900970458984,188.332176208496,158.63151550293,114.514591217041,106.438335418701,87.7340087890625,64.5838127136231,151.107704162598
10002625,455.043502807617,408.092971801758,479.588165283203,555.666320800781,564.272247314453,518.951263427734,423.726135253906,364.554183959961,307.062683105469,221.665649414063,206.03246307373,169.826530456543,125.014747619629,292.498870849609
10002601,4226.029296875,3789.99560546875,4453.9775390625,5160.5224609375,5240.44653320313,4819.54614257813,3935.18225097656,3385.64709472656,2851.71850585938,2058.62854003906,1913.44177246094,1577.19409179688,1161.02301025391,2716.462890625
10001527,798.703994750976,672.288665771485,778.571338653565,889.548950195313,939.182830810548,950.229644775391,837.923793792725,725.073268890381,645.412330627442,532.777008056641,457.374818801879,379.296783447266,252.963785171509,569.749689102173
10001525,17393.406326294,14544.7353935242,16817.479385376,19185.1797943115,20341.1619262695,20778.7834472656,18452.3688392639,15975.262954712,14286.7039985657,11914.8763160706,10168.5163497925,8436.60703086853,5581.74347305298,12530.0232810974
10001807,2091.59912109375,1594.08898925781,1786.08453369141,2133.35546875,2355.35717773438,2241.20886230469,1809.79559326172,1565.34216308594,1272.41735839844,985.787811279297,859.049652099609,684.05029296875,491.425048828125,1112.31610107422
10002614,631.611427307129,568.832431793213,671.78695678711,783.185409545898,793.042713165283,722.087677001954,586.061729431153,501.797901153565,424.361152648926,306.713550567628,283.141870498657,236.041543960572,172.62225151062,406.169017791748
10002597,2307.91603088379,2069.78950500489,2432.40298461914,2818.26055908203,2861.90875244141,2632.04695129394,2149.07871246338,1848.96704101563,1557.37828063965,1124.25664520264,1044.9673614502,861.336040496826,634.057029724121,1483.5126876831
10002612,1450.59979248047,1300.92962646484,1528.84393310547,1771.36791992188,1798.80218505859,1654.32666015625,1350.76544189453,1162.13555908203,978.862640380859,706.631652832031,656.795776367188,541.377563476563,398.525344848633,932.435699462891
