shape_id,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL,pop,pseektrtdisp10x10,pseektrthc10x10,pseektrthosp10x10,ssatrtmindisp10x10,ssatrtminhc10x10,ssatrtminhosp10x10,iso,country,admin_name,admin_type
4085,58745.302464908,52748.0807961333,49556.8126350734,50923.5732156542,53951.088283652,55444.9482258261,53230.2081710841,49118.4663832533,41899.7340710042,33225.4678915059,25296.2343411825,16464.8594901031,9264.93566958234,14958.6748311119,453335.003209033,0.5,0.5,0.5,331.550554558335,373.343317162584,526.384227842413,ESH,Western Sahara,Administrative unit not available,
4182,9.88571771119313,9.26915559584449,8.6965140881839,8.1107069550817,8.34614760266049,7.62737102733444,6.75357764488581,6.08449439332617,5.05479693251073,4.19775033685074,3.3252569415672,2.21470324226448,1.57052242145801,2.77330272995278,64.7551443160764,0.500116092810726,0.500359466669359,0.500582267384062,775.993307276046,768.785098521687,815.512137079653,MRT,Mauritania,Bir Mogrein,Department
3432,5639.55821477812,4661.15934111251,4652.25146041341,4672.31459989004,4629.99751733548,4537.06655242965,3589.79497886222,3029.71732543627,2657.36462421466,2029.82600089861,1401.43594923985,1198.14031075984,738.285799039168,1485.19466945175,34621.3897879709,0.5,0.5,0.5,1327.2095517759,1311.70419428899,1040.35276140485,DZA,Algeria,Tindouf,Commune
3431,1409.48161446041,1175.17869089953,1176.77395046625,1179.64634777454,1166.31895579602,1134.10671672603,900.3711155245,762.50912407969,671.985575359551,514.453598207359,358.487897231158,301.73604220929,190.33481374057,385.375131072098,8742.09926818706,,,,,,,DZA,Algeria,Oum El Assel,Commune
2283,1851.62996077532,1667.60996335707,1659.13832914026,1699.18255715806,1621.55795310781,1473.85361491574,1134.90851286941,1005.77324320425,815.062154581698,678.987231938823,508.414837413271,381.947854187056,227.261736519642,680.758822061384,11886.8468470974,,,,,,,DZA,Algeria,Zaouiet Kounta,Commune
2237,7746.22076958419,6976.53617298604,6941.03190225363,7108.59088575841,6783.69577616454,6165.58010870219,4747.53853008151,4207.45739793777,3409.5586065948,2840.44282528758,2126.8833180219,1597.76074583829,950.681845344603,2848.05140829086,49727.2733502761,,,,,,,DZA,Algeria,Timokten,Commune
3349,2274.09380041802,1915.77433663688,1826.58230445132,1839.69059844984,1683.11887210672,1515.97741309926,1057.78335991976,977.478810183791,825.794593070896,692.670604599057,423.222165904721,347.537363793163,232.483878511353,509.373407377294,11931.7133714672,,,,,,,DZA,Algeria,In Ghar,Commune
3353,8200.28963042004,6896.38108666346,6568.07637256547,6612.10097918473,6042.23876557523,5440.49149757181,3784.8717044936,3502.13367075921,2962.61676233367,2485.48882328786,1508.53354209269,1242.36450592087,834.365588502071,1808.36007784901,42791.6422901362,,,,,,,DZA,Algeria,In Salah,Commune
3348,1194.39635070079,1004.71898851945,957.656353723811,964.248283942405,881.412011404624,793.349080493484,551.996640041543,510.433411339283,431.687125266064,362.289208850496,220.185152075395,181.06740676731,121.664840943464,263.772435475526,6239.76195032341,,,,,,,DZA,Algeria,Fouggarat Ez Zouaia,Commune
3355,1213.2892882648,1020.33602505706,971.686854518251,978.193986950923,893.843354695917,804.866499113942,559.849999502389,518.050762110011,438.229700056916,367.658552639792,223.096435094377,183.784855715922,123.409037065329,267.371350681977,6330.04138814575,,,,,,,DZA,Algeria,Idles,Commune
2769,320.448372958665,262.171473322887,232.871089173466,228.34196473156,231.389421097367,226.739581101676,180.980964671966,147.173432531934,115.55367012621,88.8283474233395,56.2196091146361,38.3124164514647,28.9470246035253,60.511241459426,1635.86876248657,,,,,,,DZA,Algeria,Bordj Omar Driss,Commune
2826,1275.67855903498,1042.49930895773,920.967408929966,901.423144781722,917.258762158701,903.91821620112,725.078444142574,587.877927641931,460.390927653769,352.353830353853,223.037514116801,151.465383765549,114.89181206337,239.495742143669,6498.15911395302,,,,,,,DZA,Algeria,Illizi,Commune
4145,667207.642261317,611454.019572962,523879.763329988,506277.100004374,541856.343250384,642255.714373303,547378.819718003,463656.654739207,356360.012011674,279421.058209103,227368.088512189,172484.643655984,129468.861739723,290752.853677759,4681159.91322169,0.5,0.5,0.5,852.689567842671,938.829356287237,1330.11433998666,LBY,Libya,Administrative unit not available,
4089,10356548.5348519,10237797.4679219,10336424.6826756,11392903.0785585,10489735.6313923,8519921.18317955,6303493.71620191,6215980.1752162,5442820.08110488,4881216.12954836,4050660.32210936,3015211.46853007,2245416.67615427,3630223.1400353,76524006.2847062,0.5,0.5,0.5,1173.49861930398,1144.42421591623,669.687904308582,EGY,Egypt,Administrative unit not available,
2280,376.22741484642,338.795177221298,337.041428565979,345.166169404984,329.363499164581,299.3474817276,230.45879149437,204.256654977798,165.534139633179,137.905311107636,103.225988090038,77.5566230416298,46.1564526855946,138.205742239952,2414.21828213334,,,,,,,DZA,Algeria,Tit,Commune
2235,374.171069530654,336.97893602631,335.267252935387,343.357797779143,327.674471611273,297.831995816276,229.34035327773,203.242746021482,164.707482381506,137.206867889436,102.736625579899,77.1832156817691,45.9249336054455,137.556984063296,2402.03072664264,,,,,,,DZA,Algeria,Inzegmir,Commune
2120,849.687235213526,765.269970347945,761.381362066925,779.763644594233,744.130295067735,676.327792145247,520.785152952339,461.53752054536,374.009424177079,311.580263877626,233.313988578586,175.268313598579,104.284291728933,312.428681229503,5454.81073056214,,,,,,,DZA,Algeria,Sali,Commune
